country,year,literacy_rate,gdp_pc,life_exp_yrs,youth_empl_rate,percent_forest_cover,hdi,pop_density
Afghanistan,1991,,1030,51.3,35.9,2.07,0.3,19.9
Afghanistan,1992,,950,51.4,37.5,2.07,0.309,21.4
Afghanistan,1993,,818,51.4,35.7,2.07,0.305,23.1
Afghanistan,1994,,732,50.7,35.8,2.07,0.3,24.8
Afghanistan,1995,,881,51.1,39.8,2.07,0.324,26.2
Afghanistan,1996,,904,51.4,36.9,2.07,0.32799999999999996,27.3
Afghanistan,1997,,930,51.1,36.9,2.07,0.332,28.2
Afghanistan,1998,,956,50.1,37.0,2.07,0.335,28.9
Afghanistan,1999,,982,51.5,37.0,2.07,0.33799999999999997,29.7
Afghanistan,2000,,972,51.6,37.0,2.07,0.34,30.8
Afghanistan,2001,,871,51.7,36.9,2.07,0.341,32.1
Afghanistan,2002,,1060,52.4,40.6,2.07,0.373,33.7
Afghanistan,2003,,1100,53.0,40.6,2.07,0.381,35.3
Afghanistan,2004,,1060,53.5,39.5,2.07,0.396,36.9
Afghanistan,2005,,1140,53.9,41.3,2.07,0.405,38.4
Afghanistan,2006,,1160,54.1,40.1,2.07,0.415,39.7
Afghanistan,2007,,1290,54.6,40.9,2.07,0.433,40.8
Afghanistan,2008,,1300,55.2,39.4,2.07,0.434,41.8
Afghanistan,2009,,1530,55.7,41.2,2.07,0.44799999999999995,42.9
Afghanistan,2010,,1610,56.2,39.9,2.07,0.45399999999999996,44.1
Afghanistan,2011,39.0,1660,56.7,39.8,2.07,0.46299999999999997,45.5
Albania,1991,,3230,73.9,39.8,28.7,0.618,120.0
Albania,1992,,3010,73.9,39.1,28.6,0.603,118.0
Albania,1993,,3320,73.9,34.2,28.6,0.608,116.0
Albania,1994,,3620,74.0,34.6,28.5,0.616,115.0
Albania,1995,,4130,74.1,36.0,28.4,0.628,113.0
Albania,1996,,4530,74.3,36.4,28.4,0.637,113.0
Albania,1997,,4070,72.5,39.8,28.3,0.636,113.0
Albania,1998,,4460,74.3,36.6,28.2,0.6459999999999999,113.0
Albania,1999,,5100,74.4,34.0,28.1,0.6559999999999999,114.0
Albania,2000,,5470,74.4,34.5,28.1,0.662,114.0
Albania,2001,98.7,5960,74.5,33.4,28.2,0.67,114.0
Albania,2002,,6230,74.5,34.0,28.3,0.674,114.0
Albania,2003,,6620,74.6,32.2,28.4,0.6809999999999999,114.0
Albania,2004,,7020,74.7,30.6,28.5,0.685,113.0
Albania,2005,,7460,74.9,29.1,28.6,0.696,112.0
Albania,2006,,7920,75.2,27.7,28.5,0.703,111.0
Albania,2007,,8450,75.4,27.3,28.5,0.713,110.0
Albania,2008,95.9,9150,75.6,26.0,28.4,0.721,109.0
Albania,2009,,9530,75.9,24.9,28.4,0.725,108.0
Albania,2010,,9930,76.3,23.0,28.3,0.738,107.0
Albania,2011,96.8,10200,76.7,24.8,28.3,0.752,107.0
Algeria,1991,,9870,71.4,24.0,0.7,0.581,11.1
Algeria,1992,,9820,71.7,22.8,0.69,0.5870000000000001,11.4
Algeria,1993,,9400,72.0,21.8,0.69,0.591,11.7
Algeria,1994,,9130,72.1,21.1,0.69,0.595,11.9
Algeria,1995,,9300,72.3,18.1,0.68,0.6,12.1
Algeria,1996,,9510,72.8,20.4,0.68,0.609,12.3
Algeria,1997,,9460,73.0,22.0,0.67,0.617,12.5
Algeria,1998,,9800,73.1,20.6,0.67,0.627,12.7
Algeria,1999,,9970,73.5,19.0,0.67,0.636,12.9
Algeria,2000,,10200,73.9,17.6,0.66,0.644,13.1
Algeria,2001,,10400,74.1,18.6,0.66,0.653,13.3
Algeria,2002,69.9,10800,74.4,18.0,0.66,0.6629999999999999,13.4
Algeria,2003,,11500,74.5,17.8,0.65,0.6729999999999999,13.6
Algeria,2004,,11800,75.1,21.1,0.65,0.68,13.8
Algeria,2005,,12300,75.4,22.0,0.64,0.6859999999999999,14.0
Algeria,2006,72.7,12300,75.6,23.5,0.68,0.69,14.2
Algeria,2007,,12600,75.9,21.9,0.71,0.6970000000000001,14.4
Algeria,2008,,12700,76.1,22.3,0.74,0.705,14.6
Algeria,2009,,12600,76.3,22.5,0.77,0.7140000000000001,14.9
Algeria,2010,,12900,76.5,22.1,0.81,0.7240000000000001,15.2
Algeria,2011,,13000,76.7,21.6,0.81,0.732,15.5
Angola,1991,,4210,50.8,27.2,48.8,,10.1
Angola,1992,,3790,51.0,27.4,48.7,,10.4
Angola,1993,,2760,49.7,27.3,48.6,,10.8
Angola,1994,,2770,51.1,26.9,48.5,,11.1
Angola,1995,,2970,52.0,26.4,48.4,,11.4
Angola,1996,,3210,52.3,26.4,48.3,,11.8
